what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1301360650018
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1301360650019
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1301360650038
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1301360650039
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1301360650039
started,bundle,org.tigris.subversion.clientadapter,1.6.10,"org.tigris.subversion.clientadapter",1301360650039
started,bundle,org.tigris.subversion.subclipse.core,1.6.10,"org.tigris.subversion.subclipse.core",1301360650039
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1301360650039
started,bundle,org.tigris.subversion.subclipse.ui,1.6.10,"org.tigris.subversion.subclipse.ui",1301360650050
os,sysinfo,,,"win32",1301360650056
arch,sysinfo,,,"x86",1301360650056
ws,sysinfo,,,"win32",1301360650056
locale,sysinfo,,,"en_US",1301360650056
processors,sysinfo,,,"8",1301360650056
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301360650056
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1301360650056
java.specification.name,sysinfo,,,"Java Platform API Specification",1301360650056
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301360650056
java.specification.version,sysinfo,,,"1.6",1301360650056
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301360650056
java.version,sysinfo,,,"1.6.0_21",1301360650056
java.vm.info,sysinfo,,,"mixed mode, sharing",1301360650056
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301360650056
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301360650056
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301360650056
java.vm.specification.version,sysinfo,,,"1.0",1301360650056
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301360650056
java.vm.version,sysinfo,,,"17.0-b17",1301360650056
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1301360665092
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1301360668048
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1301360668313
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301360668466
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1301360668756
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1301360669899
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1301360669999
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1301360670105
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1301360674079
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9.3,"org.tigris.subversion.clientadapter.javahl",1301360674351
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.10,"org.tigris.subversion.clientadapter.svnkit",1301360674354
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1301360685285
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1301360694761
